Model,p,D,rho,Corrected p,Still significant
OLMo-7B_Gender-PPL-permutation,9.999000099990002e-05,,,0.0018998100189981002,True
OLMo-7B_Gender-NW-permutation,9.999000099990002e-05,,,0.0018998100189981002,True
OLMo-7B_Series-PPL-correlation,9.98969130225739e-60,,-0.1384091032224496,2.897010477654643e-58,True
OLMo-7B_Series-NW-correlation,7.123353092170165e-15,,-0.066331738883454,1.7096047421208397e-13,True
OLMo-7B_YearAv-PPL-correlation,5.595132556017198e-80,,-0.1608426480389547,1.7344910923653313e-78,True
OLMo-7B_Vision-PPL-permutation,9.999000099990002e-05,,,0.0018998100189981002,True
OLMo-7B_Vision-NW-permutation,0.6452354764523548,,,1.0,False
OLMo-7B_Clinical-PPL-permutation,9.999000099990002e-05,,,0.0018998100189981002,True
OLMo-7B_Clinical-NW-permutation,9.999000099990002e-05,,,0.0018998100189981002,True
OLMo-7B_Peacock_gender,2.1777190394672384e-15,0.0891422831287129,,5.444297598668096e-14,True
OLMo-7B_Peacock_vision,1.4948538996475226e-18,0.4491228070175438,,3.886620139083559e-17,True
OLMo-7B_Peacock_clinical,8.342507029557468e-09,0.5666666666666667,,1.6685014059114937e-07,True
GPT2_Gender-PPL-permutation,9.999000099990002e-05,,,0.0018998100189981002,True
GPT2_Gender-NW-permutation,9.999000099990002e-05,,,0.0018998100189981002,True
GPT2_Series-PPL-correlation,2.068269521271656e-70,,-0.1505075297970066,6.204808563814968e-69,True
GPT2_Series-NW-correlation,7.123353092170165e-15,,-0.066331738883454,1.7096047421208397e-13,True
GPT2_YearAv-PPL-correlation,1.5412134165014694e-54,,-0.1323695670884741,4.3153975662041145e-53,True
GPT2_Vision-PPL-permutation,9.999000099990002e-05,,,0.0018998100189981002,True
GPT2_Vision-NW-permutation,0.2710728927107289,,,1.0,False
GPT2_Clinical-PPL-permutation,0.6407359264073592,,,1.0,False
GPT2_Clinical-NW-permutation,0.0312968703129687,,,0.15648435156484347,False
GPT2_Peacock_gender,7.873405965005541e-15,0.0876951459904803,,1.732149312301219e-13,True
GPT2_Peacock_vision,2.501406211406512e-09,0.3157894736842105,,5.2529530439536755e-08,True
GPT2_Peacock_clinical,0.0180252790535049,0.28,,0.1081516743210294,False
GPT2_Peacock_data,0.0,0.3411953119312806,,0.0,True
GPT2-Medium_Peacock_data,6.229548716344617e-211,0.2304360486277935,,2.1803420507206161e-209,True
GPT2-Large_Peacock_data,6.90498614408412e-159,0.1998616874135547,,2.3476952889886008e-157,True
GPT2-XL_Peacock_data,1.847369482214316e-94,0.1539637475431317,,5.911582343085811e-93,True
OLMo-1B_Peacock_data,5.6366823374597636e-27,0.0817500181990245,,1.5219042311141362e-25,True
OLMo-7B_Peacock_data,1.7207729001906627e-117,0.1714712091431899,,5.678550570629187e-116,True
GPT2_data_PPL_permutation,9.999000099990002e-05,,,0.0018998100189981002,True
GPT2-Medium_data_PPL_permutation,9.999000099990002e-05,,,0.0018998100189981002,True
GPT2-Large_data_PPL_permutation,9.999000099990002e-05,,,0.0018998100189981002,True
GPT2-XL_data_PPL_permutation,9.999000099990002e-05,,,0.0018998100189981002,True
OLMo-1B_data_PPL_permutation,0.273972602739726,,,1.0,False
OLMo-7B_data_PPL_permutation,9.999000099990002e-05,,,0.0018998100189981002,True
GPT2_data_PPL_permutation,0.0,,-0.3268580085667411,0.0,True
GPT2-Medium_data_PPL_permutation,0.0,,-0.3322265340681521,0.0,True
GPT2-Large_data_PPL_permutation,0.0,,-0.3388063657077207,0.0,True
GPT2-XL_data_PPL_permutation,0.0,,-0.341030811401284,0.0,True
OLMo-1B_data_PPL_permutation,0.0,,-0.3546174486023236,0.0,True
OLMo-7B_data_PPL_permutation,0.0,,-0.3831391923841478,0.0,True
